,Unnamed: 0.1,Unnamed: 0,entity id,alias,synonyms,scientific name,category,molecules
0,0.0,0.0,1,bakery products,{'bakery products'},poacceae,bakery,"{27457, 7976, 31252, 26808, 22201, 26331}"
1,1.0,1.0,2,bread,{'bread'},poacceae,bakery,"{1031, 1032, 644104, 527, 8723, 31260, 15394, 31268, 6184, 439341, 9261, 10797, 49, 5365811, 31289, 6202, 638011, 61503, 8768, 637511, 72, 1110, 61020, 5280863, 637542, 1130, 107, 6251, 7284, 7288, 444539, 637566, 126, 9862, 650, 33931, 441484, 445070, 19602, 5284503, 10393, 8857, 1183, 8868, 7847, 441005, 7858, 4788, 180, 5280443, 8892, 5363388, 702, 10430, 5280445, 30914, 643779, 7362, 18635, 10448, 7895, 1549026, 85730, 439533, 240, 244, 11509, 247, 11005, 5280511, 768, 7937, 8452, 784, 284, 798, 5284639, 11552, 802, 2345, 12587, 5315892, 3893, 12097, 323, 638278, 6986, 637775, 26447, 338, 5280598, 13144, 1889, 643941, 878, 11128, 379, 8063, 402, 2969, 5318042, 8094, 6560, 6561, 6050, 6054, 5367719, 8103, 6569, 5281708, 6072, 853433, 6584, 79803, 6590, 8130, 107971, 454, 12232, 14286, 439246, 12756, 985, 439263, 7654, 999, 998, 7150, 89594}"
2,2.0,2.0,3,rye bread,{'rye bread'},rye,bakery,"{644104, 7824, 643731, 8468, 1049, 5372954, 8094, 1183, 6561, 31276, 7344, 12209, 8369, 6202, 5366074, 25915, 7997, 32065, 72, 18635, 460, 332, 12366, 8908, 10448, 8158, 999, 1130, 19309, 12020}"
3,3.0,3.0,4,wheaten bread,"{'soda scones', 'soda farls'}",wheat,bakery,"{6915, 5365891, 12170, 8082, 31251, 7958, 1049, 7711, 1060, 26808, 7359, 30914, 14286, 7895, 8027, 26334, 8163, 8164, 11747, 996, 228583, 19310, 880, 7921, 22386, 9589, 61303, 1146, 637564, 263034}"
4,4.0,4.0,5,white bread,{'white bread'},wheat,bakery,"{7361, 994, 10883, 7362, 11173, 5365891, 11559, 5960, 12170, 880, 61020, 6140, 7359}"
5,5.0,5.0,6,wholewheat bread,{'wholewheat bread'},wheat,bakery,"{107905, 8194, 10883, 13187, 5283329, 5283335, 644104, 18827, 5283339, 31245, 5364752, 643731, 61209, 8093, 8094, 7710, 6561, 31268, 12327, 65064, 31276, 1068, 7344, 8369, 179, 10931, 62131, 6202, 25915, 11579, 957, 15037, 7997, 3776, 65084, 18635, 10957, 8914, 72276, 72277, 36822, 7894, 14296, 18522, 8158, 61663, 637920, 612, 7909, 8038, 9064, 1130, 878, 12020, 247, 8314, 5283324, 14079}"
6,6.0,6.0,7,wort,{'wort'},barley,beverage,"{13187, 9862, 135, 18827, 7824, 61712, 19602, 8468, 8091, 5284507, 8093, 798, 31260, 6560, 5281, 11552, 7710, 1183, 5282726, 9256, 7976, 12587, 1068, 7469, 10931, 14079, 3893, 26808, 853433, 10430, 32065, 7362, 12097, 5284421, 445639, 12232, 5352905, 12748, 332, 17100, 8785, 8027, 5321950, 8158, 8163, 612, 7909, 11622, 998, 996, 7144, 5370602, 7654, 999, 643820, 7151, 8180, 62453, 5283316, 15606, 379, 11005, 8063}"
7,7.0,7.0,8,arrack,{'arak'},grape,beverage alcoholic,"{1031, 240, 31249, 6584, 7997}"
8,8.0,8.0,9,beer,{'beer'},poacceae,beverage alcoholic,"{229888, 62465, 8194, 8193, 1031, 644104, 5283335, 31242, 1032, 12813, 31245, 85519, 527, 31251, 62484, 5283349, 73750, 31253, 7193, 1049, 7707, 7710, 31268, 1060, 65064, 9256, 1068, 9261, 31276, 15406, 49, 24115, 31283, 7222, 31289, 6202, 31291, 58, 65084, 7742, 442428, 21057, 643139, 7749, 5284421, 10823, 72, 5319754, 12367, 7762, 72276, 72277, 5280343, 8792, 529496, 7772, 5280863, 7775, 612, 61030, 1130, 107, 519786, 20083, 7795, 7284, 17525, 7799, 61048, 7800, 1146, 7797, 8314, 444539, 126, 7302, 135, 9862, 10886, 8842, 650, 445070, 7824, 643731, 61592, 10393, 146586, 5284507, 1183, 5281, 679, 7848, 14505, 638122, 10925, 7342, 513197, 7344, 639665, 8369, 14514, 26808, 22201, 5280443, 8892, 15037, 10430, 5280445, 7361, 5463238, 445639, 18635, 17100, 10957, 8908, 10448, 8914, 7894, 7895, 8918, 1549018, 26331, 5321950, 26334, 10976, 61664, 445154, 1549026, 88290, 7909, 16617, 5367531, 7915, 643820, 8432, 753, 3314, 61171, 12020, 11509, 7921, 75515, 19707, 11005, 14079, 7937, 65285, 264, 7945, 18698, 636687, 61712, 8468, 61209, 240925, 798, 11552, 7460, 7976, 61743, 3893, 9017, 5366074, 25915, 7997, 10558, 32065, 27457, 12097, 12613, 8007, 332, 637775, 338, 6998, 342, 8025, 8027, 643941, 8038, 9064, 19309, 878, 19310, 880, 22386, 8051, 8052, 9589, 6086514, 62835, 379, 569214, 16255, 8063, 107905, 13187, 9609, 12170, 18827, 5281168, 402, 5282708, 14228, 5362583, 2969, 5318042, 8093, 8094, 6560, 6561, 11173, 6054, 5282726, 5281708, 520108, 12209, 522676, 16821, 6584, 853433, 957, 6590, 5362622, 222656, 8129, 5054, 964, 454, 12232, 61384, 61386, 5352905, 460, 14286, 8655, 439246, 1491, 12756, 14296, 985, 7646, 8159, 8158, 11747, 996, 8163, 7654, 7655, 999, 8169, 1001, 7658, 16872, 998, 8174, 7151, 8175, 7144, 8180, 62453, 31225, 8186}"
9,9.0,9.0,10,bantu beer,"{'pombe', 'opaque beer', 'millet beer', 'kaffir beer', 'malwa'}",eragrostideae,beverage alcoholic,"{6560, 8038, 7654, 7147, 1068, 14286, 527, 240, 12209, 6354, 31284, 957, 8063}"
